"rep","condition","acceptance_rate","method","r_full","rho_full","r_diag","rho_diag","r_off","rho_off","r_sym","r_min","rmse_full","rmse_diag","pairing_rate","elapsed_sec"
7,"bilateral",0.25,"crude_ratio",0.697434317868928,0.366970910868623,0.710202650256043,0.7,-0.259937000531553,-0.209614627438687,0.701234490825817,0.70093708141816,1.27734311413241,1.63529427010354,0.999,1.56648087501526
7,"bilateral",0.25,"loglinear_3way",0.736352003731345,0.344204050993493,0.432464712869558,0.3,-0.297268867893168,-0.24820793429563,0.738855428622897,0.738582040337811,0.792912389531579,1.19722228721806,0.999,1.56648087501526
7,"bilateral",0.25,"clogit_K2",0.888889709362191,0.93382713386127,0.950816867205235,1,0.87827665264473,0.870241233048702,0.885625481938181,0.884741090759871,0.889762900971884,0.610286242026583,0.999,1.56648087501526
7,"bilateral",0.5,"crude_ratio",0.45204456968814,0.170558509573009,0.666906012341238,0.5,-0.489257337517567,-0.429823495975359,0.462223567327987,0.465135466077848,1.02011153136168,2.01047892163591,0.998,1.50155377388
7,"bilateral",0.5,"loglinear_3way",0.437807540728284,-0.0409031719790474,0.226518391576397,0.4,-0.69467577053065,-0.691652597396969,0.443640932581217,0.44723736771462,1.00998441912407,2.02324424034451,0.998,1.50155377388
7,"bilateral",0.5,"clogit_K2",0.787379613047294,0.972029152973777,0.541575224968657,0.6,0.926725604547949,0.951211504297582,0.783167370527566,0.784036635591045,0.805447958054999,1.06867893950432,0.998,1.50155377388
7,"bilateral",0.75,"crude_ratio",-0.617247645526144,-0.904114452329321,-0.450178871776226,-0.6,-0.809945528295436,-0.876295085104693,-0.615945472950933,-0.616574472977412,1.49498398772627,2.60024949880406,0.9996,1.59807205200195
7,"bilateral",0.75,"loglinear_3way",-0.609660545538426,-0.879032318568584,0.0586978027293587,0.1,-0.789927591344079,-0.865700844006709,-0.610419026543751,-0.604794211136493,1.49856330182538,2.91345068267624,0.9996,1.59807205200195
7,"bilateral",0.75,"clogit_K2",0.62146665104513,0.89794038863437,0.16641036973887,0.5,0.937701216914572,0.9391038001856,0.614507658919795,0.616604036680676,0.890811288578809,1.83560350220709,0.9996,1.59807205200195
8,"bilateral",0.25,"crude_ratio",0.847433613164366,0.407102324885802,0.773941361741568,0.7,-0.0958900523817385,-0.158156884962764,0.846433781218539,0.848732686518393,1.29142755843355,1.58579191089912,0.9998,1.51051998138428
8,"bilateral",0.25,"loglinear_3way",0.886944635084884,0.327997133794248,0.850006639445533,0.7,-0.156779337635662,-0.313286843897533,0.887742412728239,0.887813769972228,0.618518362437753,0.925399036861323,0.9998,1.51051998138428
8,"bilateral",0.25,"clogit_K2",0.893194490227321,0.96006690456481,0.924654662006443,0.9,0.902504602920381,0.923212438538623,0.88784018283317,0.887888372087936,0.994156218017665,0.638929397650096,0.9998,1.51051998138428
8,"bilateral",0.5,"crude_ratio",0.527927417609158,0.285550445891463,0.694140994487403,0.7,-0.216109833532595,-0.135454939752798,0.53248914581617,0.538977787801824,1.00306978546292,2.02175004160651,0.9996,1.5369918346405
